study,proxy,Source,Age,norm,Country,norm_leoss
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,30,0.889,Argentina,0.8882845232310627
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,31,0.889,Argentina,0.8864353000640065
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,32,0.889,Argentina,0.8845745565688168
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,33,0.889,Argentina,0.8827001550495335
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,34,0.889,Argentina,0.8808099578101979
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,35,0.869,Argentina,0.8789018271548502
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,36,0.869,Argentina,0.8769736253875314
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,37,0.869,Argentina,0.8750232148122822
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,38,0.869,Argentina,0.873048457733143
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,39,0.869,Argentina,0.8710803955370293
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,40,0.869,Argentina,0.8691436629753783
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,41,0.869,Argentina,0.8672265123990135
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,42,0.869,Argentina,0.8653171961587584
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,43,0.869,Argentina,0.8634039666054364
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,44,0.869,Argentina,0.8614750760898712
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,45,0.849,Argentina,0.8595187769628861
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,46,0.849,Argentina,0.8575233215753049
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,47,0.849,Argentina,0.8554769622779507
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,48,0.849,Argentina,0.8533679514216471
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,49,0.849,Argentina,0.8511845413572178
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,50,0.849,Argentina,0.8490626723769412
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,51,0.849,Argentina,0.8471031900983946
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,52,0.849,Argentina,0.8452417048603493
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,53,0.849,Argentina,0.8434138270015774
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,54,0.849,Argentina,0.8415551668608496
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,55,0.829,Argentina,0.839601334776938
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,56,0.829,Argentina,0.837487941088614
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,57,0.829,Argentina,0.835150596134649
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,58,0.829,Argentina,0.8325249102538147
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,59,0.829,Argentina,0.8295464937848827
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,60,0.829,Argentina,0.8261408718954906
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,61,0.829,Argentina,0.8223283030045223
